case_id,case_order,model,family,source_gate12a_run_id,gate12c1_run_id,preflight_eligible_cycle_count,derived_eligible_cycle_count,expected_single_sample_block_count,mixed_or_undefined_expected_cycle_count,source_gate12a_checksum_status,gate12c1_output_checksum_status,source_gate12a_immutability_status,gate12c1_output_immutability_status
case_01,1,qwen_qwen2_5_0_5b,transcript_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_0_5b_transcript_128r_gate9k,case_01,320,320,128,0,pass,pass,pass,pass
case_02,2,qwen_qwen2_5_0_5b,briefing_200r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_0_5b_briefing_200r_gate9k,case_02,500,500,200,0,pass,pass,pass,pass
case_03,3,qwen_qwen2_5_0_5b,archive_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_0_5b_archive_128r_gate9k,case_03,320,320,128,0,pass,pass,pass,pass
case_04,4,qwen_qwen2_5_3b_instruct,transcript_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_3b_instruct_transcript_128r_gate9k,case_04,320,320,128,0,pass,pass,pass,pass
case_05,5,qwen_qwen2_5_3b_instruct,briefing_200r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_3b_instruct_briefing_200r_gate9k,case_05,500,500,200,0,pass,pass,pass,pass
case_06,6,qwen_qwen2_5_3b_instruct,archive_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen2_5_3b_instruct_archive_128r_gate9k,case_06,320,320,128,0,pass,pass,pass,pass
case_07,7,meta_llama_llama_3_2_3b_instruct,transcript_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_meta_llama_llama_3_2_3b_instruct_transcript_128r_gate9k,case_07,320,320,128,0,pass,pass,pass,pass
case_08,8,meta_llama_llama_3_2_3b_instruct,briefing_200r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_meta_llama_llama_3_2_3b_instruct_briefing_200r_gate9k,case_08,500,500,200,0,pass,pass,pass,pass
case_09,9,meta_llama_llama_3_2_3b_instruct,archive_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_meta_llama_llama_3_2_3b_instruct_archive_128r_gate9k,case_09,320,320,128,0,pass,pass,pass,pass
case_10,10,qwen_qwen3_4b,transcript_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen3_4b_transcript_128r_gate9k,case_10,320,320,128,0,pass,pass,pass,pass
case_11,11,qwen_qwen3_4b,briefing_200r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen3_4b_briefing_200r_gate9k,case_11,500,500,200,0,pass,pass,pass,pass
case_12,12,qwen_qwen3_4b,archive_128r,gate12a_discrete_connection_recheck_from_gate12a_upstream_gate8cm_qwen_qwen3_4b_archive_128r_gate9k,case_12,320,320,128,0,pass,pass,pass,pass
